Publication Number,Title,Claims
WO2007145227A1,HEMATOPOIETIC STEM CELL PROLIFERATION PROMOTER ,
WO2010087961A3,MRI-COMPATIBLE ARTICULATING ARMS AND RELATED SYSTEMS AND METHODS ,
WO2008019199A3,FC&#947;RIIB-SPECIFIC ANTIBODIES AND METHODS OF USE THEREOF ,
WO2005045001A3,INSULIN-PRODUCING CELLS DERIVED FROM STEM CELLS ,
WO1996027665A3,NEURON-RESTRICTIVE SILENCER FACTOR PROTEINS ,
WO2009015343A3,DIFFERENTIATION OF MULTI-LINEAGE PROGENITOR CELLS TO CHONDROCYTES ,
WO2000011168A3,GENES THAT REGULATE HEMATOPOIETIC BLOOD FORMING STEM CELLS AND USES THEREOF ,
WO2005117994A9,BMP PATHWAY METHODS AND COMPOSITIONS ,
WO2010013190A3,"COMPOSITION FOR HYPERTROPHIC TISSUE REGENERATION, PRODUCTS AND USES THEREOF ",
WO2004096975A3,APPARATUS AND METHODS FOR AMPLIFICATION OF BLOOD STEM CELL NUMBERS ,
WO2003055992A3,A METHOD FOR THE ESTABLISHMENT OF A PLURIPOTENT HUMAN BLASTOCYST-DERIVED STEM CELL LINE ,
WO2007123402A3,THERAPEUTIC INTERVENTION IN A GENETIC DISEASE IN AN INDIVIDUAL BY MODIFYING EXPRESSION OF AN ABERRANTLY OR ABNORMALLY EXPRESSED GENE ,
WO2008026548A1,METHOD FOR INHIBITING THE DEVELOPMENT OF TERATOMA ,
WO2001029192A3,USE OF ALLOGENEIC CELL LINES TO LOAD ANTIGEN-PRESENTING CELLS TO ELICIT OR ELIMINATE IMMUNE RESPONSES ,
WO1993020228A1,"NOVEL, PHYSIOLOGICALLY ACTIVE PROTEIN AND HEMOPOIETIC STEM CELL GROWTH PROMOTER ",
WO2002010337A3,METHOD OF CLONING PORCINE ANIMALS ,
WO2010033925A3,PEPTIDE-PRESENTING SURFACES FOR LONG-TERM CULTURE OF PLURIPOTENT CELLS ,
WO2008086296A3,ACID CERAMIDASE AND CELL SURVIVAL ,
WO2003008535A3,METHODS OF GENERATING HUMAN CARDIAC CELLS AND TISSUES AND USES THEREOF ,
WO2010039823A8,COMPOSITIONS AND METHODS FOR TISSUE REPAIR WITH EXTRACELLULAR MATRICES ,
WO2003038075A1,"METHOD OF INDUCING DIFFERENTIATION OF MESODERMAL STEM CELLS, ES CELLS OR IMMORTALIZED CELLS INTO NERVOUS SYSTEM CELLS ",
WO2009011139A1,"METHOD FOR ISOLATION OF CELL, SERUM-FREE CULTURE MEDIUM FOR CELL, AND METHOD FOR CULTURE OF CELL ",
WO2002088330A3,NEURAL PROGENITOR CELLS ,
WO2008011017A3,METHODS AND COMPOSITIONS FOR TREATING VASCULAR DISEASE ,
WO2007136042A1,AMELIORATING AGENT FOR BRAIN DAMAGE ,
WO2003064627A3,CHIMERIC BIRD FROM EMBRYONIC STEM CELLS ,
WO2005097974A3,PROCEDE DE PREPARATION D'UNE COMPOSITION CONTENANT DES CELLULES EPITHELIALES ,
WO2002041930A8,"CONNECTIVE TISSUE SUBSTITUTES, METHOD OF PREPARATION AND USES THEREOF ",
WO2010131641A1,PROCEDE PERMETTANT DE DETERMINER L'ETAT D'UNE CELLULE ,
WO2003074694A1,ADIPOCYTE DIFFERENTIATION-ASSOCIATED GENES AND PROTEINS ,
WO1999010004A3,"REGULATION OF MUSCLE TISSUES BY HEDGEHOG-LIKE POLYPEPTIDES, AND FORMULATIONS AND USES RELATED THERETO ",
WO2010018297A1,USE OF CATECHOLAMINE FOR DIFFERENTIATION OF STEM CELLS INTO CARDIOMYOCYTES ,
WO2007061805A3,MULTIPOTENT NEURAL STEM CELLS ,
WO2008056779A1,"METHOD FOR CULTURE AND PASSAGE OF PRIMATE EMBRYONIC STEM CELL, AND METHOD FOR INDUCTION OF DIFFERENTIATION OF THE EMBRYONIC STEM CELL ",
WO2009117473A3,STRUCTURES INCLUDING ANTIMICROBIAL PEPTIDES ,
WO2003047645A1,"SPONGE-LIKE POROUS APATITE-COLLAGEN COMPOSITE, SPONGE-LIKE SUPERPOROUS APATITE-COLLAGEN COMPOSITE AND PROCESS FOR PRODUCING THE SAME ",
WO2007098484A3,HIGH-YIELD ACTIVATION OF POLYMER SURFACES FOR COVALENT ATTACHMENT OF MOLECULES ,
WO2006106752A1,NONINVASIVE ANALYSIS METHOD ,
WO2009088189A3,METHOD FOR PRODUCING CLONED TRANSGENIC CANIDAE ,
WO2007047963A3,USE OF BONE-MARROW DERIVED STEM CELLS TO TREAT ISCHEMIA ,
WO1998030683A3,NUCLEAR TRANSFER WITH DIFFERENTIATED FETAL AND ADULT DONOR CELLS ,
WO2008084319A2,NOVEL NUCLEIC ACID ,
WO2010091051A3,UTILISATION THÉRAPEUTIQUE DE CELLULES PROGÉNITRICES ENDOTHÉLIALES SPÉCIALISÉES ,
WO2005028616A9,MORPHOGEN COMPOSITIONS AND METHODS OF USE THEREOF TO TREAT HEART DISORDERS ,
WO2005093083A1,METHOD OF DISEASE PREDICTION AND METHOD OF USING THE SAME ,
WO2006098304A1,NOVEL SECRETORY PROTEIN DERIVED FROM PITUITARY CELL AND USE OF THE SAME ,
WO2010004989A1,METHOD FOR PRODUCTION OF PLURIPOTENT STEM CELL ,
WO2006046569A1,NEURONAL DIFFERENTIATION PROMOTING PEPTIDE ,
WO2006130690A3,METHODS AND COMPOSITIONS FOR INDUCING BROWN ADIPOGENESIS ,
WO2008099696A1,APPARATUS FOR DETERMINING THE TERMINATION OF FAT DIGESTION AND APPARATUS FOR DIGESTING FAT TISSUE ,
WO2006004951A3,POLY (ETHYLENE GLYCOL)-DIACRYLATE-(PEGDA)-CROSSLINKED HYDROGELS COMPRISING ADIPOGENIC MESENCHYMAL STEM CELLS ,
WO2009022994A8,MICROFLUIDIC SEPARATION SYSTEM ,
WO2006033769A2,ASSAYS AND COMPOSITIONS FOR IDENTIFICATION OF CANCER ASSOCIATED LIVER STEM CELLS ,
WO2001055301A3,"NUCLEIC ACIDS, PROTEINS, AND ANTIBODIES ",
WO2005042723A3,NOVEL MULTIPOTENT STEM CELLS AND USE THEREOF ,
WO2001019379A3,METHODS FOR TREATING MUSCULAR DYSTROPHY WITH BONE MARROW CELLS ,
WO2008113111A8,ASSAY FOR GENE EXPRESSION ,
WO2002100898A3,"POLYPEPTIDE HAVING AN ACTIVITY TO SUPPORT PROLIFERATION OR SURVIVAL OF HEMATOPOIETIC STEM CELL AND HEMATOPOIETIC PROGENITOR CELL, AND DNA CODING FOR THE SAME ",
WO2004027051A3,USE OF A FUSION POLYPEPTIDE FOR OBTAINING PLURIPOTENT NONEMBRYONIC STEM CELLS ,
WO2005016367A1,THERAPEUTIC PREPARATION FOR HEMATOPOIETIC DISEASE ,
WO2003074684A1,CELLS CAPABLE OF DIFFERENTIATING INTO MYOCARDIUM-LIKE CELLS ,
WO2008129997A1,COMPOSITION OF SOLUBILIZED AMNION AND USE THEREOF ,
WO2004065538A3,"PROTEIN DOMAIN RELATED TO DEAFNESS, OSTEOARTHRITIS AND ABNORMAL CELL PROLIFERATION ",
WO2009051238A1,"MOUSE HAVING HUMAN LEUKEMIC STEM CELL AND LEUKEMIC NON-STEM CELL AMPLIFIED THEREIN, AND METHOD FOR PRODUCTION THEREOF ",
WO2003029412A3,RESTRICTED EXPRESSION LENTIVIAL VECTORS ,
WO2004063365A1,NOVEL USE OF COMPOUND HAVING TGF&#946;-INHIBITORY ACTIVITY ,
WO2008089226A3,ASSESSING MAMMALS FOR VASCULAR DISEASES ,
WO2001018200A1,TSG-LIKE GENE ,
WO2006122053A3,BIOMARKERS FOR EVALUATING LIKELIHOOD OF TUMOR SENSITIVITY TO AN MTOR INHIBITOR ,
WO2008066057A1,CONTROL OF CELL PROLIFERATION TARGETED FOR IQGAP3 ,
WO2000046355B1,TELOMERASE REVERSE TRANSCRIPTASE TRANSCRIPTIONAL REGULATORY SEQUENCES ,
WO2000050048A9,BONE MARROW TRANSPLANTATION FOR HEPATIC REGENERATION AND REPAIR ,
WO2009079922A1,"HUMANIZED ANTI-CD34 MONOCLONAL ANTIBODY, THE PREPARATION AND USES THEREOF ",
WO2000047762A3,ENRICHED CENTRAL NERVOUS SYSTEM CELL POPULATIONS ,
WO2009010725A3,METHOD OF ASSESSING THE PROLIFERATION OR DIFFERENTIATION BEHAVIOUR OF A POPULATION OF TARGET CELLS IN A BIOLOGICAL SYSTEM ,
WO2008013966A3,USE OF 8-QUINOLINOL AND ITS ANALOGS TO TARGET CANCER STEM CELLS ,
WO2003054170A8,COMPOSITIONS FOR THE IN VITRO DERIVATION AND CULTURE OF EMBRYONIC STEM (ES) CELL LINES WITH GERMLINE TRANSMISSION CAPABILITY AND FOR THE CULTURE OF ADULT STEM CELLS ,
WO2008113469A3,SUBSTITUIERTE IMIDAZO- UND TRIAZOLOPYRIMIDINE ,
WO2010032964A3,"COMPOSITION PHARMACEUTIQUE DE PRÉVENTION D'UNE LÉSION DU FOIE OU D'AMÉLIORATION DE LA FONCTION HÉPATIQUE, CONTENANT L'EAU ACTIVÉE D'UNE RESSOURCE ACTI-MINÉRALE ENA-A EN TANT QUE PRINCIPE ACTIF ",
WO2002066655A1,NOVEL CALCIUM-INDEPENDENT PHOSPHOLIPASES A ,
WO2004007700A1,PROCESS FOR PRODUCING NERVE CELLS ,
WO2002009508A1,NONHUMAN ANIMAL MODELS NON-RESPONSIVE TO MYCOPLASMA-ORIGIN LIPOPROTEIN/LIPOPEPTIDE ,
WO2008143047A1,METHOD FOR PRODUCTION OF DENDRITIC CELL ,
WO2009150644A3,NONWOVEN STRUCTURE AND METHOD OF FABRICATING THE SAME ,
WO2008038579A1,IN VITRO DIFFERENTIATION/INDUCTION OF LYMPHOCYTE FROM STEM CELL HAVING GENOTYPE PROVIDED AFTER GENE RECONSTITUTION ,
WO2008045638A3,ANNULUS FIBROSUS REPAIR DEVICES AND TECHNIQUES ,
WO2008018450A1,CELL PREPARATION CONTAINING MULTIPOTENTIAL STEM CELLS ORIGINATING IN FAT TISSUE ,
WO2008030617A3,CANCER THERAPY WITH CANTHARIDIN AND CANTHARIDIN ANALOGS ,
WO2001059076A3,PREMEIOTIC AND POSTMEIOTIC ORIGIN OF TERATOMAS: ISOLATED TERATOMA STEM CELLS FOR THERAPEUTIC USES ,
WO2000074729A3,ALPHA OR BETA EMITTERS TO FRAGMENTS IN RADIOIMMUNOTHERAPY ,
WO2005012480A3,SYSTEMS AND METHODS FOR SEPARATING AND CONCENTRATING REGENERATIVE CELLS FROM TISSUE ,
WO2007085210A3,"METHOD OF CULTIVATION OF HUMAN MESENCHYMAL STEM CELLS, PARTICULARLY FOR THE TREATMENT OF NON-HEALING FRACTURES, AND BIOREACTOR FOR CARRYING OUT THIS CULTIVATION METHOD ",
WO2009066562A1,"PROMOTEUR DE DIFFÉRENCIATION ET/OU PROMOTEUR DE PROLIFÉRATION POUR DES CELLULES SOUCHES D'ÉRYTHROCYTES, UTILISATION DE LA MÉTHIONINE POUR LA PRÉVENTION OU LE TRAITEMENT D'UNE ANÉMIE SÉNILE, ET COMPOSITIONS CONTENANT DE LA MÉTHIONINE ",
WO2007127975A3,METHOD FOR EXPANSION OF HUMAN CORNEAL ENDOTHELIAL CELLS ,
WO2007146372A3,NOVEL THERAPEUTIC AND DIAGNOSTIC PRODUCTS AND METHODS ,
WO2010107286A2,COMPOSITION FOR IMPROVING SKIN CONDITIONS USING FETAL MESENCHYMAL STEM CELLS FROM AMNIOTIC FLUID ,
WO2004053071A3,METHOD FOR DISCOVERING NEUROGENIC AGENTS ,
WO2010017518A3,CONNECTING MICRORNA GENES TO THE CORE TRANSCRIPTIONAL REGULATORY CIRCUITRY OF EMBRYONIC STEM CELLS ,
WO2007121443A3,DIFFERENTIATION OF MULTI-LINEAGE PROGENITOR CELLS TO RESPIRATORY EPITHELIAL CELLS ,
WO2010101257A1,AGENT DESTINÉ À EMPÊCHER UNE RÉCURRENCE DE LEUCÉMIE ,
WO2010033920A3,COMPOSITIONS AND METHODS FOR ENHANCING CELL REPROGRAMMING ,
WO2010062905A3,LATERAL VENTRICLE CELL COMPOSITIONS AND USE FOR TREATING NEURAL DEGENERATIVE DISEASES ,
WO1999034670A1,GENE MUTANT ANIMALS ,
WO2005079250A3,"PURINES ARE SELF-RENEWAL SIGNALS FOR NEURAL STEM CELLS, AND PURINE RECEPTOR ANTAGONISTS PROMOTE NEURONAL AND GLIAL DIFFERENTIATION THEREFROM ",
WO2008156708A3,METHODS AND COMPOSITIONS FOR ENHANCED DIFFERENTIATION FROM EMBRYONIC STEM CELLS ,
WO2005123902A1,METHOD OF INDUCING THE DIFFERENTIATION OF EMBRYONIC STEM CELLS INTO NERVE BY SERUM-FREE SUSPENSION CULTURE ,
WO2006049336A1,METHOD OF PREPARING STEM CELLS AND TISSUE REMEDY ,
WO2007106862A3,THE USE OF STATINS TO STIMULATE NEUROGENESIS ,
WO2009097283A3,METHOD AND DEVICE FOR HERNIA REPAIR ,
WO2003025224A2,,
WO2006113407A3,HYDROGEL BIOSCAFFOLDINGS AND BIOMEDICAL DEVICE COATINGS ,
WO2004070018A3,VEGF-B AND PDGF MODULATION OF STEM CELLS ,
WO2006042197A3,"USE OF DEL-1 IN HAIR, BONE AND CARTILAGE REGENERATION ",
WO1997012985A3,MULTI-FUNCTIONAL HEMATOPOIETIC RECEPTOR AGONISTS,
WO2003104423A3,MENINGEAL-DERIVED STEM CELLS ,
WO2005081628A3,CASEIN DERIVED PEPTIDES AND THERAPEUTIC USES THEREOF ,
WO2001012127B1,"TGF- alpha POLYPEPTIDES, FUNCTIONAL FRAGMENTS AND METHODS OF USE THEREFOR ",
WO2010040865A1,NEW BIOMATERIAL BASED ON WHARTON'S JELLY FROM THE HUMAN UMBILICAL CORD ,
WO2009137836A3,CELL POTENCY ASSAY ,
WO2009151301A2,GRAFT MATERIAL FOR WOUND TREATMENT AND TREATMENT METHOD USING VASCULAR PRECURSOR CELLS DERIVED FROM HUMAN EMBRYONIC STEM CELLS ,
WO2002067867A3,RAPID PREPARATION OF STEM CELL MATRICES FOR USE IN TISSUE AND ORGAN TREATMENT AND REPAIR ,
WO2009076292A3,RATIONALLY-DESIGNED MEGANUCLEASES WITH RECOGNITION SEQUENCES FOUND IN DNASE HYPERSENSITIVE REGIONS OF THE HUMAN GENOME ,
WO1996035784A3,CHROMATIN-REGULATOR GENES ,
WO2004078961A1,FLOATATION SUPPORT AND METHOD OF FLOATATION/RECOVERY ,
WO2007024991A3,INHIBITION OF MRNA INTERFERASE-INDUCED APOPTOSIS IN BAK-DEFICIENT AND BAK-AND BAX-DEFICIENT MAMMALIAN CELLS ,
WO2007123579A3,TRANSLATIONAL DYSFUNCTION BASED THERAPEUTICS ,
WO2009023725A3,EARLY DETECTION OF CANCER BY METHYLATED DNA IN BLOOD ,
WO2010099472A3,SPANX-B POLYPEPTIDES AND THEIR USE ,
WO2008124166A3,FUSION PROTEINS OF COLLAGEN-BINDING DOMAIN AND PARATHYROID HORMONE ,
WO2001056375A1,TOB GENE-DEFECTIVE KNOCKOUT NONHUMAN MAMMAL ,
WO2001094553A1,METHOD OF AMPLIFYING NATURAL KILLER T CELLS ,
WO2010123594A3,DEVICE FOR FILTRATION OF FLUIDS THERE THROUGH AND ACCOMPANYING METHOD ,
WO2006023422A3,STEM-LIKE CELLS ,
WO2000035464A1,METHOD FOR TREATING PATIENTS USING CELLULAR SUSPENSIONS OF EMBRYONIC TISSUES ,
WO2002014481A1,METHOD OF EXTENSIVE CULTURE OF ANTIGEN-SPECIFIC CYTOTOXIC T CELLS ,
WO2004002425A3,PROCESS FOR PROMOTING GRAFT ACCEPTANCE BY DEPLETION OF HEMATOPOIETIC STEM CELLS ,
WO2008137122A3,INDUCING PREMATURE SENESCENCE TO STABILIZE STEM CELL FEEDER LAYER CELLS ,
WO2010068707A3,ANIMAL MODEL SUBCUTANEOUSLY TRANSPLANTED WITH MESENCHYMAL STEM CELLS ,
WO2010059806A3,GENERATION OF INDUCED PLURIPOTENT STEM CELLS WITHOUT THE USE OF VIRAL VECTORS ,
WO2003104416A3,SPLICEOSOME MEDIATED RNA TRANS-SPLICING IN STEM CELLS ,
WO2008121894A3,ENDOGENOUS EXPRESSION OF HLA-G AND/OR HLA-E BY MESENCHYMAL CELLS ,
WO2007120811A3,HEMANGIO-COLONY FORMING CELLS ,
WO2008147143A3,IMMUNOGLOBULIN FUSION PROTEINS ,
WO2008081116A3,CELLULAR PREPARATIONS FOR USE AS A REVASCULARISATION STIMULATING AGENT ,
WO2006015214A3,UMBILICAL CORD STEM CELL COMPOSITION & METHOD OF TREATING NEUROLOGICAL DISEASES ,
WO2008083204A3,MODULATION OF NEUROGENESIS BY MELATONINERGIC LIGANDS ,
WO2008084762A1,NEUROGENESIS-PROMOTING COMPOSITION COMPRISING THEANINE ,
WO2003078567A3,METHODS OF INDUCING DIFFERENTIATION IN EX VIVO EXPANDED STEM CELLS ,
WO2008003514A3,HUMAN IL-4 MUTEINS IN COMBINATION WITH CHEMOTHERAPEUTICS OR PRO-APOPTOTIC AGENTS IN CANCER THERAPY ,
WO2001098358A3,COMPOSITIONS FOR IDENTIFICATION AND ISOLATION OF STEM CELLS ,
WO2006067920A1,PHARMACEUTICAL FOR BONE MARROW STEM CELL TRANSPLANTATION THERAPY ,
WO2008048570A3,PIWIL2-RELATED BIOMARKERS AND CELL LINES USEFUL THEREWITH ,
WO1994013800A3,MK PROTEIN PREPARATION AND USE IN CELL CULTURE ,
WO2009003676A8,METHOD FOR THE GENERATION OF A NON-HUMAN ANIMAL WITH AN ONCOGENE ,
WO2003018041A1,METHOD OF TREATING SPINAL INJURY AND REMEDY THEREFOR ,
WO2010030948A3,HEDGEHOG SIGNALING AND CANCER STEM CELLS IN HEMATOPOIETIC CELL MALIGNANCIES ,
WO2006105109A3,"METHODS FOR GENERATING NEW HAIR FOLLICLES, TREATING BALDNESS, AND HAIR REMOVAL ",
WO2009066922A3,METHOD OF DIFFERENTIATING ISLET-NEIGHBORING CELLS INTO INSULIN- SECRETING CELLS ,
WO2008060382A3,MULTI-WELL MICROPATTERNING BY ABLATION ,
WO2009002223A1,METHOD FOR PRODUCING A HUMAN HYBRID STEM CELL ,
WO2010070183A1,PHARMACEUTICAL COMPOSITION COMPRISING OLEUROPEIN FOR UTILISATION IN ANGIOGENESIS AND VASCULOGENESIS INDUCTION ,
WO2007135563A3,USE OF GLIS3 FOR PREPARING FUNCTIONAL PANCREATIC BETA-CELLS ,
WO2002052936A1,PRESERVING AGENTS FOR FREEZE-DRIED CELLS ,
WO2007000668A3,GENE VECTOR COMPRISING MI-RNA ,
WO2007004642A1,MUTANT TRANSPOSON VECTOR AND USE THEREOF ,
WO2002057430A3,PLURIPOTENT ADULT STEM CELLS DERIVED FROM REGENERATIVE TISSUE ,
WO2002017983A1,"MEDICINAL COMPOSITIONS FOR FORMING TISSUE AROUND BONE OR TOOTH, PROCESS FOR PREPARING THE SAME, INJECTIONS FOR FORMING TISSUE AROUND BONE OR TOOTH AND PROCESS FOR PREPARING THE SAME ",
WO2007058322A1,BASIC GROUP-CONTAINING COMPOUND AND USE THEREOF ,
WO2008110624A9,SIRNA-MEDIATED SILENCING OF GENES FOR TREATING CHEMOTHERAPEUTIC DRUG-RESISTANT EPITHELIAL TUMORS ,
WO2004087065A3,COMPOSITIONS FOR INDUCTION OF A THERAPEUTIC RESPONSE ,
WO2007057897A3,PHARMACEUTICAL COMPOSITION AND METHOD FOR REGULATING ABNORMAL CELLULAR PROLIFERATION ,
WO2000066178A9,LIM MINERALIZATION PROTEIN SPLICE VARIANTS ,
WO2000056368A1,GENE THERAPEUTICS ,
WO2003102151A3,MODULATING CELL DIFFERENTIATION AND TREATING MYELOPROLIFERTIVE DISORDERS WITH JNK/MKK INHIBITORS ,
WO2008144514A3,POLYOL-BASED POLYMERS ,
WO2008004119A3,EUGENIA JAMBOLANA PLANT EXTRACTS FOR TREATING OSTEOPOROSIS AND THE EXTRACTION PROCESS THEREOF ,
WO2007087402A3,CELL AGGREGATION AND ENCAPSULATION DEVICE AND METHOD ,
WO2007135574A8,"USE OF PARASYMPATHOLYTIC SUBSTANCES TO ENHANCE AND ACCELERATE STEM CELL DIFFERENTIATION, RELATED METHOD AND COMPOSITIONS ",
WO2006070370A3,STEM CELLS CULTURE SYSTEMS ,
WO2008065372A3,MODIFIED ERYTHROPOIETIN POLYPEPTIDES AND USES THEREOF FOR TREATMENT ,
WO2006095711A1,METHOD OF REGENERATING OR REPAIRING DAMAGED TISSUE BY USING ADRENOMEDULIN ,
WO2006055743A3,COMPBINATION GROWTH THERAPY AND CELL THERAPY FOR TREATMENT OF ACUTE AND CHRONIC DISEASES OF THE ORGANS ,
WO2004090112A3,"STEM-CELL, PRECURSOR CELL, OR TARGET CELL-BASED TREATMENT OF MULTI-ORGAN FAILURE AND RENAL DYSFUNCTION ",
WO2001007607A3,FULL LENGTH cDNA CLONES AND PROTEINS ENCODED THEREBY ,
WO2003068172A3,UNDESIGNATED ALLOGENEIC STEM CELL BANK ,
WO2006062871A8,,
WO2007149000A3,NEW STRUCTURAL PROTEIN PREPARATIONS ,
WO2006116752A3,"COMPOSITIONS COMPRISING NANOSTRUCTURES FOR CELL, TISSUE AND ARTIFICIAL ORGAN GROWTH, AND METHODS FOR MAKING AND USING SAME ",
WO2005032535A1,NERVE REGENERATION PROMOTERS ,
WO2000014203A1,METHOD FOR PREPARING CELL FRACTION CONTAINING HEMATOPOIETIC STEM CELLS ,
WO2009057537A1,PHARMACEUTICAL COMPOSITION CONTAINING HUMAN MESENCHYMAL STEM CELL ,
WO2005042048A3,BIOACTIVE HYDROGEL COMPOSITIONS FOR REGENERATING CONNECTIVE TISSUE ,
WO2008112917A8,PEPTIDYL FLUOROMETHYLKETONES AS INHIBITORS OF VIRAL REPLICATION ,
WO2007108368A1,PANEL CELL USED FOR GRANULOCYTE ANTIBODY DETECTION ,
WO2005121318A3,NEURAL STEM CELLS ,
WO1989003426A1,,
WO2008137031A3,PANELS OF GENETICALLY DIVERSE SAMPLES AND METHODS OF USE THEREOF ,
WO2009121063A3,CHEMOKINE RECEPTOR MODULATORS ,
WO2010022083A3,"BONE AUGMENTATION UTILIZING MUSCLE-DERIVED PROGENITOR COMPOSITIONS IN BIOCOMPATIBLE MATRIX, AND TREATMENTS THEREOF ",
WO2006112365A1,TREATMENT OF PULMONARY EMPHYSEMA WITH A MESENCHYMAL STEM CELL ,
WO2003087392A3,"MODULATION OF STEM AND PROGENITOR CELL DIFFERENTIATION, ASSAYS, AND USES THEREOF ",
WO2003070189A3,ENHANCING NEUROTROPHIN-INDUCED NEUROGENESIS BY ENDOGENOUS NEURAL PROGENITOR CELLS BY CONCURRENT OVEREXPRESSION OF BRAIN DERIVED NEUROTROPHIC FACTOR AND AN INHIBITOR OF A PRO-GLIOGENIC BONE MORPHOGENETIC PROTEIN ,
WO2002034272A3,METHODS OF IMPROVING CENTRAL NERVOUS SYSTEM FUNCTIONING ,
WO2009085548A3,COATED TISSUE ENGINEERING SCAFFOLD ,
WO2006101548A3,"POSTPARTUM CELLS DERIVED FROM UMBILICAL CORD TISSUE, AND METHODS OF MAKING, CULTURING, AND USING THE SAME ",
WO2006109695A1,COMPOSITION COMPRISING GENETICALLY ENGINEERED HAPTOGLOBIN ,
WO2008148304A1,RNA INTERFERENCE TARGET FOR TREATING AIDS ,
WO1996038571A3,RECOMBINANT POLYPEPTIDE CYTOTOXINS FOR CANCER TREATMENT ,
WO2007036113A1,MEDICAL USE OF PERIPLOCOSIDE A AND E ,
WO2004072251A3,DIRECTED GENETIC MODIFICATIONS OF HUMAN STEM CELLS ,
WO2010005740A3,PROCÉDÉS POUR LA PRÉPARATION DE COPOLYMÈRES DIBLOCS FONCTIONNALISÉS AVEC UN AGENT DE CIBLAGE DESTINÉS À ÊTRE UTILISÉS DANS LA FABRICATION DE NANOPARTICULES CIBLÉES THÉRAPEUTIQUES ,
WO2004009766A3,"METHOD OF OBTAINING VIABLE HUMAN LIVER CELLS, INCLUDING HEPATIC STEM/PROGENITOR CELLS ",
WO2010127555A1,METHOD FOR CULTURING STEM CELLS ,
WO2007000601A8,GENE REGULATION ,
WO2010047928A3,METHODS AND COMPOSITIONS FOR TREATMENT OF FIBROSIS ,
WO2006022243A1,METHOD OF DISTINGUISHING SPINAL CORD NEURON TYPE TARGETING Corl1 GENE ,
WO2002046373A9,METHOD OF COLLECTING PLACENTAL STEM CELLS ,
WO2008157394A3,REGULATORY T CELLS AND METHODS OF MAKING AND USING SAME ,
WO2008078166A3,IN SITU SYSTEM FOR INTRA-ARTICULAR CHONDRAL AND OSSEOUS TISSUE REPAIR ,
WO2009086656A1,Y-TYPE POLYETHYLENE GLYCOL MODIFIED G-CSF AND PREPARATION METHOD AND USE THEREOF ,
WO2009001840A1,ANTI-PROMININ-1 ANTIBODY HAVING ADCC ACTIVITY OR CDC ACTIVITY ,
WO2002062996A1,NOVEL PHYSIOLOGICALLY ACTIVE PEPTIDE AND USE THEREOF ,
WO2009143101A3,GASTRIN RELEASING PEPTIDE COMPOUNDS ,
WO2009142271A1,CANCER STEM CELL HAVING HIGH LEVEL OF SLD5 EXPRESSION THEREIN ,
WO2007050648A3,USE OF TUMOR NECROSIS FACTOR- RECEPTOR P75 FOR TREATMENT OF ISCHEMIA-INDUCED NEOVASCULARIZATION ,
WO2001007607A8,FULL LENGTH cDNA CLONES AND PROTEINS ENCODED THEREBY ,
WO2008157495A3,BONE MATRIX COMPOSITIONS AND METHODS ,
WO2007018607A8,THERAPEUTIC USES OF ARTIFICIAL NANOSTRUCTURES ,
WO2009080852A1,RPLP1-BASED ANTITUMOUR COMPOUNDS ,
WO2007029554A1,"MICROPATTERNING CULTURE SUBSTRATE, MICROPATTERNED CULTURED STRUCTURE, AND METHODS FOR PRODUCING THOSE ",
WO2009072835A3,TRANSGENIC CATS EXPRESSING RED FLUORESCENCE PROTEIN AND PRODUCING METHOD THEREOF ,
WO2002097090A1,GENES WITH ES CELL-SPECIFIC EXPRESSION ,
WO2009137772A3,CLEAVAGE OF NANOG BY CASPASES MEDIATES THE DIFFERENTIATION OF EMBRYONIC STEM CELLS ,
WO2005033268A3,STEM CELLS FOR CLINICAL AND COMMERCIAL USES ,
WO2007025290A3,"IMPLANTS AND METHODS FOR REPAIR, REPLACEMENT AND TREATMENT OF JOINT DISEASE ",
WO2005039488A3,USE OF CXCR4 PROTEIN EXPRESSION ON THE SURFACE OF STEM CELLS AS A MARKER FOR TUMOR TROPIC POTENTIAL ,
WO2000016795A1,PREVENTIVES AND/OR REMEDIES FOR OBESITY ,
WO2001022978A3,AUTOLOGOUS MARROW STEM CELL (MSC) TRANSPLANTATION FOR MYOCARDIAL REGENERATION ,
WO2010059253A3,METHODS AND COMPOSITIONS FOR LOCALIZED AGENT DELIVERY ,
WO2004111208A1,CARTILAGE-DERIVED STEM CELLS AND APPLICATIONS THEREOF ,
WO2004104200A1,METHOD OF CONTROLLING CELL PROLIFERATION BY USING NOVEL FUNCTION OF MYELOID LEUKEMIA FACTOR MLF1 AND UTILIZATION OF THE SAME ,
WO2009002456A3,METHODS AND COMPOSITIONS RELATING TO PROGENITOR CELLS ,
WO2002012452A3,PANCREATIC PROGENITOR CELLS ,
WO2006102417A3,MECHANISMS OF OSTEOINDUCTION BY LIM MINERALIZATION PROTEIN-1 (LMP-1) ,
WO2008029790A1,NOVEL NUCLEIC ACID ,
WO2008082766A3,ENGINEERED SCAFFOLDS FOR INTERVERTEBRAL DISC REPAIR AND REGENERATION AND FOR ARTICULATING JOINT REPAIR AND REGENERATION ,
